ID,Type,Entry Point,Exit Point,Entry Time
8,car,east,,2023-10-12 12:20:45.062518
11,car,west,east,2023-10-12 12:20:47.453643
10,car,east,west,2023-10-12 12:20:50.919678
13,car,north,east,2023-10-12 12:20:51.941367
17,car,west,east,2023-10-12 12:20:55.009844
16,car,east,south,2023-10-12 12:21:05.267674
9,car,east,,2023-10-12 12:21:07.676063
19,car,west,east,2023-10-12 12:21:11.965848
7,car,east,,2023-10-12 12:21:15.184115
22,car,north,east,2023-10-12 12:21:19.937825
24,car,west,east,2023-10-12 12:21:23.640519
26,car,west,east,2023-10-12 12:21:35.090028
28,car,east,south,2023-10-12 12:21:35.108659
30,car,east,south,2023-10-12 12:21:52.562233
34,car,north,east,2023-10-12 12:21:53.487021
42,car,west,east,2023-10-12 12:22:05.173344
44,car,west,east,2023-10-12 12:22:08.232354
37,car,east,south,2023-10-12 12:22:12.247800
31,car,north,,2023-10-12 12:22:23.463354
43,car,east,south,2023-10-12 12:22:24.393016
48,car,west,,2023-10-12 12:22:31.777510
49,car,east,south,2023-10-12 12:22:33.565496
53,car,west,south,2023-10-12 12:22:33.565496
56,car,west,east,2023-10-12 12:23:02.919135
57,car,west,south,2023-10-12 12:23:02.919135
66,car,east,south,2023-10-12 12:23:09.680251
70,car,west,east,2023-10-12 12:23:21.117569
65,car,west,south,2023-10-12 12:23:27.816801
69,car,east,,2023-10-12 12:23:27.816801
71,car,north,west,2023-10-12 12:23:29.526706
74,car,west,east,2023-10-12 12:23:36.414639
76,car,east,south,2023-10-12 12:23:44.431555
72,car,west,east,2023-10-12 12:23:56.839118
80,car,east,south,2023-10-12 12:24:12.762386
79,car,west,east,2023-10-12 12:24:14.268444
82,truck,west,east,2023-10-12 12:24:21.846086
85,car,east,west,2023-10-12 12:24:24.465168
86,car,east,south,2023-10-12 12:24:29.861235
84,car,west,west,2023-10-12 12:24:38.820043
105,car,east,,2023-10-12 12:24:50.851085
101,bus,west,east,2023-10-12 12:24:55.964674
99,car,east,west,2023-10-12 12:24:56.388060
108,bus,east,,2023-10-12 12:24:58.929515
104,car,west,east,2023-10-12 12:24:59.354904
109,car,north,east,2023-10-12 12:25:12.248486
103,car,east,south,2023-10-12 12:25:21.455841
116,car,south,,2023-10-12 12:25:33.267500
112,car,west,east,2023-10-12 12:25:34.757974
114,car,north,east,2023-10-12 12:25:42.601484
121,car,east,west,2023-10-12 12:25:49.646313
123,car,east,south,2023-10-12 12:25:55.650456
117,car,east,west,2023-10-12 12:26:02.588826
125,car,west,east,2023-10-12 12:26:04.267562
129,car,north,east,2023-10-12 12:26:10.683865
95,bus,south,south,2023-10-12 12:26:17.239529
130,car,east,west,2023-10-12 12:26:23.798462
137,car,north,east,2023-10-12 12:26:31.248087
145,car,west,east,2023-10-12 12:26:34.762149
122,car,east,south,2023-10-12 12:26:42.668035
146,car,west,east,2023-10-12 12:26:46.880038
139,car,east,west,2023-10-12 12:26:49.657032
141,car,east,south,2023-10-12 12:26:56.822930
144,car,east,south,2023-10-12 12:27:02.531783
148,car,north,,2023-10-12 12:27:02.557408
158,truck,west,east,2023-10-12 12:27:09.468841
143,car,west,east,2023-10-12 12:27:18.284093
157,truck,north,,2023-10-12 12:27:33.750817
166,car,east,south,2023-10-12 12:27:44.983428
175,car,west,,2023-10-12 12:27:44.983428
172,car,east,west,2023-10-12 12:27:50.239068
165,car,east,south,2023-10-12 12:27:52.042255
180,car,east,,2023-10-12 12:27:56.842029
181,car,west,,2023-10-12 12:27:57.350420
